drill,hole,prob_xgb,label_real,threshold_xgb
drill_4mm_05_batch_00_collet_1_30-01-2025,78,0.2991671,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,79,0.16277495,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,80,0.06983696,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,81,0.5188254,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,82,0.05785891,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,83,0.13748868,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,84,0.38271075,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,85,0.047491804,0,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,86,0.08663482,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,87,0.0306224,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,88,0.03653061,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,89,0.09403827,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,90,0.24381499,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,91,0.05019417,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,92,0.60367125,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,93,0.8492075,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,94,0.063253276,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,95,0.1673719,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,96,0.5992787,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,97,0.029345402,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,98,0.16354764,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,99,0.04100222,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,100,0.041689396,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,101,0.049396392,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,102,0.18339527,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,103,0.15556136,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,104,0.21132605,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,105,0.1432157,1,0.1
drill_4mm_05_batch_00_collet_1_30-01-2025,106,0.16344108,1,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,1,0.0032710652,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,2,0.0025898211,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,3,0.005241787,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,4,0.004754038,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,5,0.0027512514,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,6,0.0015706628,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,7,0.005823572,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,8,0.005106636,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,9,0.0024409636,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,10,0.020018324,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,11,0.008205338,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,12,0.004868859,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,13,0.0039457683,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,14,0.027779803,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,15,0.017540617,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,16,0.06743111,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,17,0.008471662,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,18,0.13229541,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,19,0.07382502,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,20,0.076035686,0,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,21,0.43777692,1,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,22,0.85625535,1,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,23,0.7858842,1,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,24,0.030096378,1,0.1
drill_4mm_06_batch_00_collet_1_30-01-2025,25,0.3923655,1,0.1
drill_4mm_07_batch_00_collet_1_31-01-2025,1,0.0062040966,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,2,0.003522446,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,3,0.0021927403,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,4,0.9933827,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,5,0.016409619,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,6,0.007427733,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,7,0.005322038,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,8,0.004519419,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,9,0.0124867065,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,10,0.00399137,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,11,0.002593181,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,12,0.04568592,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,13,0.005038881,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,14,0.06556421,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,15,0.015842892,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,16,0.034456816,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,17,0.13929479,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,18,0.0070919646,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,19,0.026528388,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,20,0.064133115,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,21,0.052983746,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,22,0.036506265,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,23,0.038403403,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,24,0.023510395,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,25,0.0135037,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,26,0.051978182,0,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,27,0.31945208,1,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,28,0.3568901,1,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,29,0.009550469,1,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,30,0.22425912,1,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,31,0.9286603,1,0.9738432765007019
drill_4mm_07_batch_00_collet_1_31-01-2025,32,0.10948103,1,0.9738432765007019
drill_4mm_08_batch_00_collet_1_31-01-2025,1,0.005080372,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,2,0.0046435934,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,3,0.006491931,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,4,0.0044680936,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,5,0.01368519,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,6,0.037324302,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,7,0.96454275,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,8,0.23883611,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,9,0.06825447,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,10,0.012090865,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,11,0.01618227,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,12,0.03901156,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,13,0.012800222,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,14,0.068875305,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,15,0.05477227,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,16,0.043727987,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,17,0.37521088,0,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,18,0.011065912,1,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,19,0.95623904,1,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,20,0.06523453,1,0.1
drill_4mm_08_batch_00_collet_1_31-01-2025,21,0.009351287,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,1,0.0076905657,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,2,0.0012711751,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,3,0.0016190513,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,4,0.0015546615,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,5,0.01797423,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,6,0.009700352,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,7,0.042371467,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,8,0.042027913,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,9,0.06773946,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,10,0.31199166,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,11,0.08628539,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,12,0.31634304,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,13,0.8893733,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,14,0.37939674,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,15,0.43564683,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,16,0.6196371,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,17,0.11832639,0,0.1
